median_square_feet,average_listing_price,indicator
2460,600000,No deal
1852,804977,No deal
1944,176846,Good deal
1866,89900,Good deal
972,144367,Good deal
1907,468790,Good deal
1033,1170793,No deal
896,80000,Good deal
2008,2385000,Good deal
1932,830388,Good deal
1856,414464,No deal
2494,479176,No deal
1900,361739,Good deal
1290,214764,Good deal
1329,135483,Good deal
4926,2225623,No deal
722,100000,Good deal
3220,362333,No deal
1078,1365553,No deal
2605,239179,Good deal
1162,2574468,No deal
1518,892847,No deal
2152,136693,Good deal
3888,439900,No deal
1472,366184,No deal
1345,746876,No deal
1856,358083,No deal
3235,457748,No deal
2000,562933,Good deal
2905,1616944,No deal
2249,504243,Good deal
2852,805716,No deal
1560,407700,No deal
2050,445692,Good deal
1680,32500,Good deal
2888,109450,Good deal
1550,70667,Good deal
1581,530509,No deal
1767,285113,Good deal
1590,170753,Good deal
2120,589859,Good deal
1675,249000,Good deal
1056,383333,No deal
1867,355000,No deal
3050,469000,No deal
1914,529257,Good deal
1513,469744,No deal
1646,90358,Good deal
2717,397599,No deal
1435,130000,Good deal
3084,441125,No deal
1876,385467,No deal
1559,434698,No deal
1664,720624,No deal
2073,712009,Good deal
2950,199725,Good deal
2014,165000,Good deal
2112,125000,Good deal
1608,465686,No deal
1757,127000,Good deal
1078,98000,Good deal
1961,720062,Good deal
5095,825000,No deal
1000,84900,Good deal
2126,509000,Good deal
1530,388945,No deal
1736,221720,Good deal
1314,245136,Good deal
2759,195500,Good deal
2072,481920,Good deal
1300,75900,Good deal
1839,587813,No deal
1800,332728,No deal
1887,217769,Good deal
2329,542880,Good deal
1320,189900,Good deal
1881,337376,Good deal
1064,330000,No deal
2242,831667,Good deal
1714,228957,Good deal
1012,94900,Good deal
2269,350775,Good deal
1641,651399,No deal
1710,225370,Good deal
2010,388696,Good deal
1240,34900,Good deal
1892,299900,Good deal
1286,286714,Good deal
2143,239817,Good deal
1550,133164,Good deal
1550,700258,No deal
2805,422475,No deal
1768,162000,Good deal
1176,279000,Good deal
3089,1120000,No deal
1274,39000,Good deal
1173,232200,Good deal
2360,547030,No deal
1400,165360,Good deal
2607,554770,No deal
8181,1.16E+07,No deal
2754,516213,No deal
1350,154000,Good deal
2174,581416,Good deal
1536,401779,No deal
2550,720828,No deal
1635,501251,No deal
2368,371114,No deal
1833,342159,No deal
811,370348,No deal
2067,377492,Good deal
2793,2333640,No deal
1768,275000,Good deal
2046,225995,Good deal
2183,577861,Good deal
8084,1370000,No deal
3536,567475,No deal
1874,384980,No deal
2567,473268,No deal
1415,163074,Good deal
2050,438542,Good deal
1742,231826,Good deal
1282,166221,Good deal
2371,311372,No deal
1951,385000,Good deal
2004,172950,Good deal
3852,520000,No deal
1507,311754,No deal
1651,291400,Good deal
1940,448855,Good deal
1945,525761,Good deal
4164,1840397,No deal
1246,215048,Good deal
2650,649000,No deal
1244,430883,No deal
2061,616463,Good deal
1104,72725,Good deal
2382,269644,Good deal
1110,58000,Good deal
1532,134500,Good deal
2305,1038233,Good deal
2211,220500,Good deal
967,21500,Good deal
986,35000,Good deal
1870,245500,Good deal
1968,408438,Good deal
2220,368963,Good deal
1226,214567,Good deal
1674,99267,Good deal
1674,1346133,No deal
1836,207450,Good deal
1558,229674,Good deal
4298,510000,No deal
1072,35000,Good deal
1724,441669,No deal
3748,1663333,No deal
3615,500625,No deal
1232,158858,Good deal
1640,207292,Good deal
1648,122500,Good deal
1844,435872,No deal
1895,399900,Good deal
1004,46694,Good deal
1583,357199,No deal
1645,1278889,No deal
4200,669950,No deal
1729,965780,No deal
1120,69900,Good deal
1498,225917,Good deal
2151,188047,Good deal
1745,425000,No deal
1132,64900,Good deal
1945,561591,Good deal
2469,780102,No deal
1119,480330,No deal
2228,4941589,Good deal
1700,177204,Good deal
2659,487783,No deal
2887,559750,No deal
2300,370226,Good deal
1646,120000,Good deal
2310,370062,Good deal
1803,386174,No deal
1357,318689,No deal
2444,351612,No deal
2094,411293,Good deal
1517,530459,No deal
3340,1923707,No deal
2478,888192,No deal
1388,147450,Good deal
792,194688,Good deal
1269,140000,Good deal
1367,153221,Good deal
4431,589331,No deal
1838,157904,Good deal
1768,222500,Good deal
5068,312400,No deal
2302,461980,Good deal
626,95658,Good deal
1400,833620,No deal
1918,458097,Good deal
1509,258582,Good deal
2200,383656,Good deal
2216,438000,Good deal
1850,557571,No deal
2425,536025,No deal
3855,3999000,No deal
1336,92400,Good deal
2706,719625,No deal
1195,177034,Good deal
1609,265156,Good deal
1613,408123,No deal
2331,350000,Good deal
1296,193295,Good deal
1311,1354312,No deal
1444,75838,Good deal
3810,153692,Good deal
1508,1351131,No deal
952,77900,Good deal
1697,254900,Good deal
3688,452500,No deal
880,115900,Good deal
1621,250000,Good deal
1621,264900,Good deal
1200,149000,Good deal
1794,565811,No deal
1506,200162,Good deal
1219,259865,Good deal
6338,199900,Good deal
1226,83283,Good deal
1434,230916,Good deal
1504,92150,Good deal
1375,368468,No deal
1356,103705,Good deal
3573,1432967,No deal
2880,141175,Good deal
2588,1375332,No deal
1230,99790,Good deal
1392,150000,Good deal
1896,400000,Good deal
3152,442625,No deal
2240,129900,Good deal
1585,145780,Good deal
1178,117000,Good deal
4624,439900,No deal
1516,210000,Good deal
874,1039735,No deal
2938,769847,No deal
2944,1153374,No deal
1246,171900,Good deal
1633,905359,No deal
1740,777000,No deal
1441,233145,Good deal
1764,306824,No deal
1843,348637,No deal
924,89900,Good deal
1178,213500,Good deal
1253,43900,Good deal
2283,681123,Good deal
1826,428197,No deal
2302,487095,Good deal
2343,661858,Good deal
1920,428192,Good deal
2555,565938,No deal
2403,468551,No deal
1536,225000,Good deal
1660,170513,Good deal
1250,382667,No deal
