median_square_feet,average_listing_price,indicator
1262,246488,Good deal
1746,1285863,No deal
2810,422722,No deal
2156,1202611,Good deal
5776,769350,No deal
2455,625000,No deal
1430,441904,No deal
1467,214157,Good deal
1345,246268,Good deal
1280,92986,Good deal
1302,69900,Good deal
1087,99500,Good deal
2103,205000,Good deal
2688,539900,No deal
2054,1124998,Good deal
1619,1272166,No deal
1872,210672,Good deal
1982,333610,Good deal
1752,241500,Good deal
3110,475457,No deal
2383,419350,No deal
1850,384375,No deal
1819,99750,Good deal
4086,250000,Good deal
1200,225000,Good deal
3591,701930,No deal
2663,992691,No deal
2923,249900,Good deal
1617,1845603,No deal
850,60000,Good deal
3001,1279913,No deal
1768,129000,Good deal
1607,214900,Good deal
1500,251318,Good deal
373,90000,Good deal
2300,790000,Good deal
1236,214068,Good deal
2154,116267,Good deal
5433,1222811,No deal
3263,724413,No deal
4278,965833,No deal
1599,183409,Good deal
1030,391183,No deal
2000,358116,Good deal
1868,508420,No deal
1274,124032,Good deal
1100,35700,Good deal
3510,733375,No deal
4918,233250,Good deal
1984,7374333,Good deal
2686,386496,No deal
2586,1808651,No deal
1564,305040,No deal
1700,535429,No deal
2089,147000,Good deal
4888,1215207,No deal
2477,822175,No deal
2213,384291,Good deal
1698,370832,No deal
2378,281783,Good deal
2126,285000,Good deal
1518,681951,No deal
5286,534000,No deal
1754,421590,No deal
2745,836512,No deal
2248,489000,Good deal
1776,220361,Good deal
2298,705725,Good deal
6000,225000,Good deal
1280,50000,Good deal
1578,344883,No deal
3435,307000,No deal
2323,966574,Good deal
1736,694667,No deal
1625,388200,No deal
1680,346100,No deal
1353,448083,No deal
1774,69900,Good deal
1489,150833,Good deal
1522,209034,Good deal
1476,42000,Good deal
1156,87456,Good deal
2139,538891,Good deal
1652,326247,No deal
3495,2042144,No deal
1539,222042,Good deal
576,64900,Good deal
1296,86557,Good deal
2415,399008,No deal
6000,1445000,No deal
1911,176908,Good deal
2710,506628,No deal
2059,533387,Good deal
1360,88012,Good deal
1574,150000,Good deal
4152,1074700,No deal
1595,141150,Good deal
2800,1077088,No deal
1637,459454,No deal
1948,417815,Good deal
1130,828989,No deal
1331,380000,No deal
540,9900,Good deal
1296,170000,Good deal
1400,241373,Good deal
1300,275633,Good deal
2114,587372,Good deal
2166,494375,Good deal
1381,457372,No deal
1554,323327,No deal
2458,764786,No deal
1525,324063,No deal
2099,405857,Good deal
1819,330629,No deal
2000,351950,Good deal
1986,212719,Good deal
1516,190834,Good deal
1805,324180,No deal
2051,563321,Good deal
1300,182442,Good deal
1380,149900,Good deal
2794,357997,No deal
1792,451061,No deal
2277,855395,Good deal
2009,271772,Good deal
7000,2696173,No deal
2458,745913,No deal
1793,540877,No deal
1206,42400,Good deal
2285,815000,Good deal
1209,228677,Good deal
2664,199000,Good deal
1730,498167,No deal
1118,879692,No deal
2111,375000,Good deal
2860,621604,No deal
1692,121625,Good deal
2300,587800,Good deal
2468,750000,No deal
2795,797000,No deal
1343,291227,Good deal
1627,254372,Good deal
1807,1185217,No deal
1128,175000,Good deal
1766,643075,No deal
1757,317731,No deal
2084,164700,Good deal
3043,1273681,No deal
1615,211138,Good deal
1905,656320,Good deal
1425,115500,Good deal
1342,93750,Good deal
2216,380000,Good deal
1578,235000,Good deal
1454,555857,No deal
2128,194700,Good deal
3165,1323523,No deal
1882,230363,Good deal
2520,357141,No deal
1500,305477,No deal
1420,509125,No deal
1144,231133,Good deal
1836,568422,No deal
1400,114900,Good deal
1958,532317,Good deal
1400,299000,No deal
2870,419950,No deal
1554,278265,Good deal
2103,321372,Good deal
1300,127943,Good deal
5574,4361333,No deal
5534,752200,No deal
2088,269900,Good deal
3104,927245,No deal
1896,467859,Good deal
847,764328,No deal
1743,227058,Good deal
1241,154450,Good deal
5592,4500000,No deal
2439,456426,No deal
1600,484391,No deal
3030,439404,No deal
2074,630545,Good deal
3650,272875,Good deal
2332,347848,Good deal
1400,200364,Good deal
2248,274062,Good deal
2149,300000,Good deal
1300,229000,Good deal
1581,633664,No deal
1524,172655,Good deal
780,259000,Good deal
1344,796949,No deal
2101,544406,Good deal
1627,218500,Good deal
2253,914770,Good deal
3545,1557308,No deal
2500,888500,No deal
3752,3995000,No deal
720,173050,Good deal
1601,299196,No deal
1410,162100,Good deal
913,811031,No deal
7250,995400,No deal
1967,630479,Good deal
1726,1119000,No deal
2389,580804,No deal
8353,406900,No deal
2498,202875,Good deal
2816,1192214,No deal
2717,467301,No deal
2184,1426395,Good deal
1025,122217,Good deal
1447,742403,No deal
2438,338118,No deal
3092,379900,No deal
2686,306042,No deal
1680,60000,Good deal
3824,889792,No deal
1728,140418,Good deal
3035,68333,Good deal
1921,326083,Good deal
1352,475000,No deal
2450,324900,No deal
1503,399500,No deal
1325,77110,Good deal
2800,431979,No deal
2452,493363,No deal
1638,1073050,No deal
1765,179291,Good deal
2222,513460,Good deal
2435,314600,No deal
1701,198003,Good deal
1328,87487,Good deal
2200,173500,Good deal
1144,152042,Good deal
1616,210480,Good deal
2664,670500,No deal
3222,1595000,No deal
1734,157357,Good deal
1512,274000,Good deal
1461,424107,No deal
1936,140000,Good deal
1976,369829,Good deal
1364,63500,Good deal
1430,283269,Good deal
1560,109950,Good deal
11996,1.92E+07,No deal
996,155900,Good deal
2841,294967,No deal
1206,431731,No deal
1470,345033,No deal
1590,149800,Good deal
1707,1840707,No deal
1998,190706,Good deal
1972,169900,Good deal
2376,363775,No deal
3400,620000,No deal
1348,137413,Good deal
1956,410973,Good deal
1420,120625,Good deal
2200,343107,Good deal
1229,40000,Good deal
2697,771897,No deal
1324,302183,No deal
1980,150098,Good deal
1747,909314,No deal
2555,795575,No deal
2480,410142,No deal
948,83160,Good deal
1590,260658,Good deal
3360,69000,Good deal
2714,633823,No deal
1373,1558322,No deal
1205,220800,Good deal
2000,555530,Good deal
1909,571071,Good deal
1642,290047,Good deal
2226,494191,Good deal
2084,716884,Good deal
1493,384000,No deal
1700,405043,No deal
925,330363,No deal
3754,513288,No deal
1568,155000,Good deal
2420,622475,No deal
2299,153679,Good deal
3448,1202760,No deal
1558,366421,No deal
2479,692075,No deal
2900,514333,No deal
2001,237500,Good deal
1708,145750,Good deal
1845,264442,Good deal
1400,139900,Good deal
1512,39900,Good deal
2900,445000,No deal
1040,199900,Good deal
1866,321741,No deal
1926,301453,Good deal
1014,115000,Good deal
1200,326625,No deal
2050,687991,Good deal
3590,3.00E+07,No deal
3972,1692500,No deal
1221,500399,No deal
2742,772958,No deal
1508,163125,Good deal
2128,132500,Good deal
1404,62000,Good deal
1814,1602353,No deal
1164,189900,Good deal
1516,239249,Good deal
1236,433436,No deal
1633,336312,No deal
1929,424065,Good deal
1788,384544,No deal
1466,323497,No deal
1850,186950,Good deal
1462,48500,Good deal
1152,865091,No deal
1716,649000,No deal
1049,173945,Good deal
2572,293465,No deal
3246,137000,Good deal
4216,771150,No deal
1692,267045,Good deal
1627,449233,No deal
2123,1074968,Good deal
2338,104900,Good deal
1750,130125,Good deal
1847,968346,No deal
1064,79790,Good deal
2619,837150,No deal
2030,306688,Good deal
1525,155356,Good deal
3262,687681,No deal
2776,544375,No deal
1728,181250,Good deal
1118,131158,Good deal
1127,127713,Good deal
1534,271830,Good deal
2995,340396,No deal
1064,329500,No deal
1715,519180,No deal
1280,321456,No deal
1700,371221,No deal
1924,117112,Good deal
1392,132667,Good deal
1107,2048902,No deal
1673,98858,Good deal
1223,443980,No deal
1489,189187,Good deal
1008,528994,No deal
1428,80000,Good deal
2063,458399,Good deal
858,155000,Good deal
1611,759970,No deal
2687,998325,No deal
2372,95375,Good deal
1680,242000,Good deal
907,229900,Good deal
2279,179900,Good deal
1316,80430,Good deal
3425,1768767,No deal
1589,98020,Good deal
1738,234378,Good deal
1720,328865,No deal
1664,1150056,No deal
1543,4377366,No deal
1952,734917,Good deal
3388,1024227,No deal
1514,204900,Good deal
1275,325000,No deal
1340,292696,Good deal
1710,209672,Good deal
2130,315877,Good deal
1974,3047626,Good deal
2671,611235,No deal
1922,252860,Good deal
2086,1139242,Good deal
2439,461158,No deal
2992,674450,No deal
1723,464375,No deal
1218,427322,No deal
1352,91850,Good deal
2054,372061,Good deal
1099,635759,No deal
1375,157067,Good deal
1324,155000,Good deal
1701,1765497,No deal
1357,384102,No deal
740,766238,No deal
1417,188945,Good deal
2374,203950,Good deal
1057,141725,Good deal
6246,358225,No deal
1448,149500,Good deal
980,160450,Good deal
1142,89900,Good deal
1584,176250,Good deal
2228,334426,Good deal
1950,324199,Good deal
2641,379310,No deal
1459,150594,Good deal
1783,427445,No deal
1520,149890,Good deal
2364,344275,No deal
2001,424975,Good deal
1975,1761593,Good deal
2214,155000,Good deal
2715,473236,No deal
1810,1033616,No deal
2108,276423,Good deal
14500,308083,No deal
2200,278750,Good deal
1256,242896,Good deal
2176,210950,Good deal
2608,559369,No deal
1502,160107,Good deal
1504,123950,Good deal
2049,154770,Good deal
1415,221922,Good deal
2890,592388,No deal
1207,89900,Good deal
2209,304949,Good deal
3343,399000,No deal
3187,1731278,No deal
800,239000,Good deal
2239,295925,Good deal
1749,469404,No deal
1400,289000,Good deal
1344,128180,Good deal
1454,101000,Good deal
2700,323900,No deal
1277,211780,Good deal
1494,52180,Good deal
2861,764500,No deal
1691,352484,No deal
1717,333864,No deal
1710,378458,No deal
1779,339077,No deal
1643,644079,No deal
1536,281812,Good deal
4032,380750,No deal
2520,349980,No deal
1946,140000,Good deal
1500,139900,Good deal
1456,578000,No deal
813,440876,No deal
1939,5151987,Good deal
2698,5431216,No deal
2038,2347999,Good deal
1596,1325934,No deal
1090,109510,Good deal
1550,195000,Good deal
1670,415374,No deal
1155,743792,No deal
1814,142979,Good deal
1056,184900,Good deal
906,91822,Good deal
1276,575382,No deal
2312,222934,Good deal
1620,426382,No deal
1797,165000,Good deal
1712,327050,No deal
3963,212974,Good deal
1184,159900,Good deal
2131,2360199,Good deal
1790,376500,No deal
2404,852726,No deal
2091,831879,Good deal
2143,390413,Good deal
3286,3236960,No deal
1867,1295000,No deal
2480,629920,No deal
3055,806078,No deal
2384,386963,No deal
1814,309726,No deal
2026,1426577,Good deal
1800,384125,No deal
1857,437467,No deal
1438,809681,No deal
1120,486800,No deal
1856,265492,Good deal
3462,1812829,No deal
2760,672000,No deal
1416,144464,Good deal
2120,1115854,Good deal
1700,309000,No deal
1857,221223,Good deal
2236,450850,Good deal
3952,266000,Good deal
1773,382808,No deal
1296,289273,Good deal
1307,414817,No deal
4677,1465000,No deal
1162,103425,Good deal
2358,1161545,No deal
1069,134720,Good deal
2776,317500,No deal
1734,514327,No deal
1410,234167,Good deal
2170,356914,Good deal
1960,215000,Good deal
1200,229176,Good deal
1966,419900,Good deal
1720,234675,Good deal
3563,341200,No deal
2028,282000,Good deal
2487,273398,Good deal
1088,55000,Good deal
3397,968032,No deal
5300,155000,Good deal
1335,243830,Good deal
2049,895000,Good deal
2219,1300000,Good deal
1422,358815,No deal
2202,615764,Good deal
1440,231313,Good deal
2371,186950,Good deal
2408,475613,No deal
1741,339893,No deal
1556,190000,Good deal
3005,1198349,No deal
6748,1208167,No deal
1750,347336,No deal
1287,257450,Good deal
1844,273012,Good deal
2252,221750,Good deal
1975,423327,Good deal
1344,129900,Good deal
1844,358080,No deal
2772,365000,No deal
2706,667716,No deal
1900,178483,Good deal
2427,573431,No deal
2345,439700,No deal
3992,307967,No deal
2000,393375,Good deal
1626,418310,No deal
3424,406000,No deal
1813,279000,Good deal
2997,260833,Good deal
2966,695000,No deal
2400,304983,No deal
1652,238608,Good deal
876,135000,Good deal
1557,137325,Good deal
1680,201333,Good deal
2845,784447,No deal
1217,49374,Good deal
2963,574907,No deal
1680,110000,Good deal
1608,176386,Good deal
1181,304879,No deal
2976,404500,No deal
1914,382512,Good deal
1722,535189,No deal
1445,42955,Good deal
869,82605,Good deal
800,525000,No deal
2067,227407,Good deal
2090,147000,Good deal
1963,194000,Good deal
1951,444818,Good deal
2050,1002629,Good deal
1632,246260,Good deal
4347,927083,No deal
777,853316,No deal
1759,619417,No deal
1830,391823,No deal
1404,250000,Good deal
3200,379792,No deal
2321,1067342,Good deal
1800,144967,Good deal
750,169000,Good deal
1556,327145,No deal
864,170000,Good deal
1204,78675,Good deal
2412,330179,No deal
1803,295350,No deal
1889,265337,Good deal
2314,219000,Good deal
2307,802000,Good deal
2894,667880,No deal
1922,244319,Good deal
1727,965552,No deal
3590,6711511,No deal
2496,1285069,No deal
2368,459955,No deal
3457,1905429,No deal
1209,645417,No deal
2063,406966,Good deal
1560,270953,Good deal
1462,218991,Good deal
4248,932500,No deal
1492,296239,No deal
5060,1797500,No deal
768,450000,No deal
2025,492460,Good deal
1500,61225,Good deal
2008,314900,Good deal
1601,45000,Good deal
2647,326641,No deal
1840,459900,No deal
1824,340858,No deal
2576,215900,Good deal
1464,987000,No deal
1677,668992,No deal
1772,54700,Good deal
4983,433373,No deal
1757,321742,No deal
1871,608320,No deal
1820,135000,Good deal
2572,700461,No deal
1338,379985,No deal
2109,1274950,Good deal
1895,738799,Good deal
1788,308293,No deal
1563,430805,No deal
1052,124946,Good deal
832,119000,Good deal
1770,326085,No deal
1501,99343,Good deal
1204,95000,Good deal
1750,375500,No deal
1300,274800,Good deal
1392,199017,Good deal
1464,403725,No deal
1835,587221,No deal
1638,2374208,No deal
2506,199380,Good deal
2469,202813,Good deal
4787,1079151,No deal
1667,133272,Good deal
2836,399000,No deal
3460,1080000,No deal
1627,205814,Good deal
1979,390296,Good deal
1566,289316,Good deal
1696,223717,Good deal
1456,159900,Good deal
3172,621555,No deal
1691,235548,Good deal
1160,88860,Good deal
2654,382208,No deal
2739,2300358,No deal
3298,380867,No deal
1586,302789,No deal
1950,55000,Good deal
1832,212250,Good deal
2090,653573,Good deal
1807,443439,No deal
2391,372228,No deal
1975,479675,Good deal
1838,175961,Good deal
2503,937313,No deal
1963,723907,Good deal
1702,406270,No deal
2023,596508,Good deal
3363,2950000,No deal
3886,277100,Good deal
4700,1048745,No deal
2011,436657,Good deal
1643,652347,No deal
2856,184687,Good deal
1738,205807,Good deal
4674,627000,No deal
4876,874962,No deal
1134,402333,No deal
1104,268000,Good deal
3850,495956,No deal
1300,70243,Good deal
1741,196080,Good deal
1600,104250,Good deal
2442,737500,No deal
2309,540322,Good deal
3199,139900,Good deal
2081,367379,Good deal
1561,2602229,No deal
1188,113279,Good deal
1563,513333,No deal
1526,243379,Good deal
2592,1110892,No deal
1056,114160,Good deal
7372,2461469,No deal
1561,265229,Good deal
1480,128900,Good deal
2475,348112,No deal
2438,802131,No deal
1984,563831,Good deal
1171,134900,Good deal
1860,927992,No deal
2226,911997,Good deal
1188,87500,Good deal
1539,112963,Good deal
2921,432819,No deal
1385,314347,No deal
1827,700133,No deal
2610,2012553,No deal
4720,1325000,No deal
3712,411400,No deal
3413,680123,No deal
2646,813242,No deal
1955,455264,Good deal
1366,197857,Good deal
1681,215000,Good deal
1786,147933,Good deal
1764,307409,No deal
2056,458084,Good deal
2834,899976,No deal
2001,404725,Good deal
1392,372796,No deal
2132,319900,Good deal
1438,276423,Good deal
1970,369658,Good deal
1848,1900000,No deal
1330,305123,No deal
1800,318533,No deal
1094,227250,Good deal
1056,116000,Good deal
2007,217332,Good deal
1437,483554,No deal
2073,92905,Good deal
4757,1521967,No deal
1800,293550,No deal
1671,167717,Good deal
2314,1325350,Good deal
1692,164606,Good deal
1261,640904,No deal
2391,468972,No deal
2514,4469266,No deal
2170,119900,Good deal
1854,319700,No deal
1812,329900,No deal
2000,272252,Good deal
1113,174370,Good deal
1593,671428,No deal
1256,269900,Good deal
1912,119500,Good deal
2257,325000,Good deal
1663,431096,No deal
1200,215135,Good deal
986,125000,Good deal
2550,289450,Good deal
1232,196807,Good deal
2317,476254,Good deal
1208,83700,Good deal
2436,279900,Good deal
1690,147554,Good deal
1145,129000,Good deal
1870,114900,Good deal
2174,431768,Good deal
1658,479610,No deal
2142,198388,Good deal
1809,551090,No deal
1706,192403,Good deal
2473,559292,No deal
4810,499975,No deal
1200,406700,No deal
11200,2250000,No deal
1494,153983,Good deal
1618,1127634,No deal
1754,984110,No deal
1344,150000,Good deal
2069,459012,Good deal
1289,761846,No deal
3726,1306416,No deal
4261,565000,No deal
2520,612875,No deal
2210,398851,Good deal
2013,582438,Good deal
1024,160000,Good deal
1105,235386,Good deal
1600,239900,Good deal
1350,67000,Good deal
2013,217025,Good deal
2254,509088,Good deal
2350,282370,Good deal
2293,556919,Good deal
1081,173983,Good deal
1366,84967,Good deal
2423,1558740,No deal
1645,266500,Good deal
2014,287613,Good deal
2327,454500,Good deal
1572,165842,Good deal
2228,607199,Good deal
2513,769900,No deal
1559,1365115,No deal
1660,119900,Good deal
1700,85000,Good deal
1475,113275,Good deal
1000,203069,Good deal
1730,80000,Good deal
1232,621175,No deal
1633,334379,No deal
1912,259552,Good deal
1040,260000,Good deal
2197,568275,Good deal
744,382500,No deal
1682,357182,No deal
784,1519515,No deal
1586,573428,No deal
1717,186500,Good deal
1837,216140,Good deal
1547,1128625,No deal
1627,367752,No deal
1655,682928,No deal
1335,205000,Good deal
2352,636871,No deal
1000,69000,Good deal
3047,976721,No deal
1537,468000,No deal
1675,455929,No deal
5000,2183500,No deal
1805,439376,No deal
1621,460000,No deal
1725,276040,Good deal
3242,203100,Good deal
1630,188898,Good deal
1418,252313,Good deal
2978,281000,Good deal
2368,150000,Good deal
1726,784665,No deal
3149,715833,No deal
1350,343042,No deal
2043,200635,Good deal
1856,235000,Good deal
2372,327000,No deal
2038,479841,Good deal
1617,321765,No deal
1100,211300,Good deal
1740,214201,Good deal
2500,1537500,No deal
2316,316659,Good deal
2903,417560,No deal
1060,124258,Good deal
1612,154900,Good deal
2463,592457,No deal
2644,249900,Good deal
1980,654549,Good deal
392,334310,No deal
3447,1340000,No deal
1927,443903,Good deal
2512,418583,No deal
1156,179900,Good deal
2495,428576,No deal
2774,211900,Good deal
1180,109900,Good deal
1666,177475,Good deal
2514,671413,No deal
2790,346792,No deal
2313,320856,Good deal
1697,510559,No deal
1414,762250,No deal
2777,600000,No deal
3926,1335885,No deal
1800,529226,No deal
1636,223450,Good deal
931,301769,No deal
2463,2583439,No deal
2146,520357,Good deal
2101,402400,Good deal
2912,514764,No deal
2064,239450,Good deal
1120,370679,No deal
1882,379423,Good deal
1242,147200,Good deal
2114,506143,Good deal
2000,930500,Good deal
2460,737043,No deal
1916,273282,Good deal
1598,102900,Good deal
2298,650374,Good deal
2596,640544,No deal
1521,775051,No deal
1640,834908,No deal
2194,345837,Good deal
1629,193783,Good deal
2101,324415,Good deal
1777,176910,Good deal
1116,61091,Good deal
1556,378144,No deal
960,144900,Good deal
2613,453605,No deal
2652,335000,No deal
1060,676310,No deal
1392,88903,Good deal
1080,66225,Good deal
2602,1222295,No deal
1668,295000,No deal
1476,72950,Good deal
1479,228508,Good deal
3989,2480685,No deal
2170,320535,Good deal
2218,135280,Good deal
1300,237850,Good deal
1553,162178,Good deal
1197,123475,Good deal
2656,129630,Good deal
1975,426904,Good deal
1306,2495064,No deal
1618,204311,Good deal
2124,566535,Good deal
1793,950000,No deal
2890,627539,No deal
1766,510400,No deal
1666,512803,No deal
1512,164000,Good deal
1496,132361,Good deal
1848,869989,No deal
1899,475000,Good deal
5030,749250,No deal
1490,1158079,No deal
1461,218164,Good deal
1360,154900,Good deal
1747,164900,Good deal
1268,145650,Good deal
1465,156654,Good deal
1024,162860,Good deal
2360,385000,No deal
3397,1452533,No deal
2496,1271345,No deal
3085,262250,Good deal
2896,800720,No deal
1929,349035,Good deal
2095,673482,Good deal
1200,152500,Good deal
1533,123000,Good deal
1530,470090,No deal
1938,1673537,Good deal
1479,492404,No deal
1759,229709,Good deal
1658,187687,Good deal
4340,806750,No deal
1901,119000,Good deal
2110,403625,Good deal
1156,139714,Good deal
1732,697460,No deal
160,95000,Good deal
1367,229204,Good deal
2752,658721,No deal
1824,194040,Good deal
1500,449900,No deal
1984,315737,Good deal
2522,239675,Good deal
2012,246289,Good deal
2231,393104,Good deal
1590,645689,No deal
1312,80000,Good deal
1530,173720,Good deal
1290,562571,No deal
2725,336092,No deal
1744,369000,No deal
2375,728187,No deal
1649,251662,Good deal
2250,265579,Good deal
1800,63750,Good deal
1250,116040,Good deal
1430,837863,No deal
2628,977300,No deal
2611,686989,No deal
3457,749900,No deal
2465,605789,No deal
1101,62900,Good deal
1750,249900,Good deal
1403,157960,Good deal
1173,72200,Good deal
2088,304660,Good deal
1888,159900,Good deal
4495,646125,No deal
1300,161017,Good deal
1540,299900,No deal
2201,457954,Good deal
2292,209900,Good deal
1932,376077,Good deal
1612,210004,Good deal
1378,230461,Good deal
1661,111692,Good deal
3029,287425,Good deal
2086,332618,Good deal
1966,300033,Good deal
2400,406667,No deal
1900,214150,Good deal
894,228038,Good deal
1161,153900,Good deal
5730,1287500,No deal
1702,413991,No deal
2034,1037959,Good deal
2018,536475,Good deal
1700,262500,Good deal
2415,260000,Good deal
1641,399994,No deal
1456,184002,Good deal
1224,120000,Good deal
4323,821106,No deal
11902,180000,Good deal
2219,3198333,Good deal
1608,119500,Good deal
1920,400317,Good deal
2543,374000,No deal
1910,532299,Good deal
1805,273949,Good deal
2999,598261,No deal
2000,369650,Good deal
2387,356111,No deal
1366,68750,Good deal
1727,627638,No deal
1862,415963,No deal
3146,848167,No deal
2030,245094,Good deal
1100,462000,No deal
1874,483416,No deal
2287,267709,Good deal
1464,356451,No deal
2965,789450,No deal
1237,147900,Good deal
1986,63750,Good deal
2046,3900000,Good deal
1400,99500,Good deal
2045,240378,Good deal
3920,251000,Good deal
1904,725000,Good deal
4845,1119818,No deal
1873,296612,No deal
2961,806597,No deal
2457,572442,No deal
1736,132433,Good deal
2347,455447,No deal
1417,172025,Good deal
1758,172500,Good deal
1970,103725,Good deal
2005,333451,Good deal
2196,224399,Good deal
1488,264182,Good deal
1928,746465,Good deal
960,115000,Good deal
1176,148750,Good deal
1202,215007,Good deal
1464,205715,Good deal
1952,428000,Good deal
832,1165465,No deal
1846,522884,No deal
2401,296093,No deal
914,425000,No deal
3703,571667,No deal
912,478317,No deal
2276,231206,Good deal
1309,530000,No deal
1858,426068,No deal
1338,312579,No deal
2052,70000,Good deal
997,753942,No deal
3054,542317,No deal
1175,741287,No deal
1987,500774,Good deal
1120,249900,Good deal
1964,423472,Good deal
1834,820228,No deal
1586,341190,No deal
2358,531147,No deal
7035,2015248,No deal
1040,51300,Good deal
1451,134800,Good deal
1988,445342,Good deal
1695,198850,Good deal
1633,164331,Good deal
2940,576200,No deal
1116,328172,No deal
2799,638525,No deal
1719,231367,Good deal
1933,264925,Good deal
1576,256700,Good deal
1674,227000,Good deal
2592,400000,No deal
2371,630263,No deal
1100,59900,Good deal
2660,782215,No deal
1609,336065,No deal
1750,293143,No deal
1928,1566335,Good deal
2912,528835,No deal
3497,431667,No deal
1720,249413,Good deal
1695,154700,Good deal
1200,260100,Good deal
1440,247429,Good deal
1332,426563,No deal
1565,326573,No deal
1343,84765,Good deal
1274,160895,Good deal
1550,244087,Good deal
1728,280171,Good deal
2263,667022,Good deal
2076,396819,Good deal
3000,100000,Good deal
1663,289860,Good deal
1837,411927,No deal
1440,242500,Good deal
2948,318700,No deal
2027,671455,Good deal
2742,362828,No deal
2726,143080,Good deal
2221,328729,Good deal
1008,62292,Good deal
1900,810321,Good deal
1152,215806,Good deal
1515,72540,Good deal
2428,66534,Good deal
2679,183783,Good deal
1680,810156,No deal
1383,599156,No deal
1324,227782,Good deal
1436,596305,No deal
2200,178800,Good deal
2268,379179,Good deal
1434,97067,Good deal
3028,1016592,No deal
1500,202887,Good deal
2100,224900,Good deal
1765,647098,No deal
1056,187966,Good deal
1567,86975,Good deal
1518,266211,Good deal
1684,611930,No deal
2940,551988,No deal
3547,1346793,No deal
2556,525458,No deal
3624,549999,No deal
1730,226521,Good deal
1908,402338,Good deal
6000,559875,No deal
2144,365828,Good deal
2240,437000,Good deal
1925,807614,Good deal
2064,148900,Good deal
1366,205933,Good deal
2451,730303,No deal
4300,913914,No deal
4440,687500,No deal
5336,2195000,No deal
1276,145567,Good deal
2230,455476,Good deal
2586,165000,Good deal
2379,1057250,No deal
1440,1267667,No deal
1661,1602101,No deal
1430,160344,Good deal
2352,452508,No deal
2762,1115441,No deal
2575,1004802,No deal
2184,922918,Good deal
5954,345000,No deal
1723,267800,Good deal
2699,928832,No deal
1649,208822,Good deal
1872,706962,No deal
1952,685817,Good deal
2576,409225,No deal
1847,253794,Good deal
2041,537450,Good deal
2197,282737,Good deal
1315,185550,Good deal
2373,894015,No deal
1938,227160,Good deal
1629,604529,No deal
2666,269000,Good deal
1892,567151,Good deal
2284,651669,Good deal
2079,265773,Good deal
1518,130322,Good deal
1390,331249,No deal
1460,168537,Good deal
2029,89900,Good deal
2072,132500,Good deal
5179,749900,No deal
2308,268445,Good deal
2943,2250986,No deal
3070,717635,No deal
1500,55192,Good deal
2685,295366,No deal
1736,203059,Good deal
2309,682091,Good deal
3248,279000,Good deal
2515,376135,No deal
1672,378809,No deal
1972,152400,Good deal
1800,350000,No deal
1559,244225,Good deal
3004,405703,No deal
1849,145000,Good deal
1941,550926,Good deal
3077,818052,No deal
1938,628618,Good deal
2420,114500,Good deal
2368,355000,No deal
1000,135000,Good deal
1628,202520,Good deal
1260,79897,Good deal
1176,165843,Good deal
1320,233025,Good deal
1409,518990,No deal
1743,456007,No deal
3040,227221,Good deal
1771,215995,Good deal
1952,112500,Good deal
2392,448531,No deal
1430,313400,No deal
900,2475000,No deal
1668,169000,Good deal
1100,512000,No deal
1854,319000,No deal
2484,809377,No deal
1224,94500,Good deal
3648,371230,No deal
1215,36630,Good deal
1080,450000,No deal
2500,358096,No deal
1770,131633,Good deal
2116,930135,Good deal
2117,719671,Good deal
1225,127150,Good deal
1984,765817,Good deal
1605,142294,Good deal
1593,775599,No deal
1352,271948,Good deal
1002,43500,Good deal
1956,203233,Good deal
1480,1216848,No deal
2580,95900,Good deal
1509,285419,Good deal
2698,770272,No deal
1771,602031,No deal
1428,702567,No deal
1728,300758,No deal
1057,193358,Good deal
1536,141128,Good deal
1492,59900,Good deal
1716,87125,Good deal
2736,733667,No deal
1854,176070,Good deal
1937,331410,Good deal
2947,281999,Good deal
1788,67901,Good deal
1128,155000,Good deal
801,605253,No deal
1269,45000,Good deal
1344,299900,No deal
1944,216037,Good deal
1644,286715,Good deal
972,73900,Good deal
1804,385407,No deal
2616,427500,No deal
1024,99900,Good deal
1412,212636,Good deal
2104,430436,Good deal
1705,290469,Good deal
2640,528000,No deal
2662,1651362,No deal
2470,154950,Good deal
1714,229450,Good deal
1498,44900,Good deal
3150,864230,No deal
2595,480793,No deal
1924,1125990,Good deal
1794,353472,No deal
2399,687525,No deal
2100,241750,Good deal
2116,471176,Good deal
2082,439148,Good deal
7325,1095000,No deal
1096,735211,No deal
1995,136750,Good deal
2654,495000,No deal
1463,303871,No deal
1248,164995,Good deal
1638,183303,Good deal
1440,200000,Good deal
1011,82650,Good deal
2546,324000,No deal
1414,560255,No deal
1872,534450,No deal
1470,1394723,No deal
1698,3691662,No deal
1908,212911,Good deal
2699,739420,No deal
1866,873859,No deal
2244,734975,Good deal
1517,495244,No deal
1251,174190,Good deal
1571,320569,No deal
2210,1229344,Good deal
1831,227438,Good deal
2286,386805,Good deal
1501,443204,No deal
1722,443278,No deal
1080,144980,Good deal
1022,122500,Good deal
2160,177200,Good deal
3466,958167,No deal
2280,118200,Good deal
2840,398983,No deal
1188,369000,No deal
2012,377315,Good deal
2475,2166333,No deal
13939,52500,Good deal
2905,1052002,No deal
1487,647870,No deal
1792,195000,Good deal
1541,240783,Good deal
2048,107450,Good deal
6898,1400000,No deal
1675,534286,No deal
